Project,SFCS,,,,,,,,,,
Reference Documents,,,,,,,,,,,
Author,"Dinesh,Priya",,,,,,,,,,
Reviewer,,,,,,,,,,,
Module,Lay Plan Preparation,,,,,,,,,,
Test Case Count,116,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Test Case ID,Test Scenario,Test Description,Test Steps,Test Data,Expected Output,Actual Output,QA Status,GIT Id,Result (Pass/Fail),Clarifications,QA Remarks/Comments
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
,,,14.Select date from date picker,,,,,,,,
,,,15.Click on category drop down,,,,,,,,
LPP_043,Verifying the functionality of lay plan preparation in Cutting,"Check for the functionality of pur width, in order category classification form",1.Open Browser and enter url,http://localhost/sfcsui,Entered values in pur width text box should display,,Fail,14,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
,,,14.Select date from date picker,,,,,,,,
,,,15.select any value from category drop down,,,,,,,,
,,,16.Enter Float values in  pur width textbox,,,,,,,,
LPP_044,Verifying the functionality of lay plan preparation in Cutting,"Check for the functionality of pur width, in order category classification form",1.Open Browser and enter url,http://localhost/sfcsui,"Popup message should display as ""Please enter Numeric values greater than zero""",,Fail,14,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
,,,14.Select date from date picker,,,,,,,,
,,,15.select any value from category drop down,,,,,,,,
,,,16.Enter special characters and alphabets and negative values in pur width textbox,,,,,,,,
LPP_045,Verifying the functionality of lay plan preparation in Cutting,"Check for the functionality of pattern version, in order category classification form",1.Open Browser and enter url,http://localhost/sfcsui,"Entered text in pattern ver text box should display and if we enter single or double qoute error message should display ""Please avoid single and double quotes""",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
,,,14.Select date from date picker,,,,,,,,
,,,15.select any value from category drop down,,,,,,,,
,,,16.Enter value in  pur width textbox,,,,,,,,
,,,17.Enter text in pattern version except single quote and double quote,,,,,,,,
LPP_046,Verifying the functionality of lay plan preparation in Cutting,"Check the Gmt Way drop down values, in order category classification form",1.Open Browser and enter url,http://localhost/sfcsui,"These values should display in Gmt Way drop down: All Gmt One Way, One Gmt One Way and select value from drop down",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
,,,14.Select date from date picker,,,,,,,,
,,,15.select any value from category drop down,,,,,,,,
,,,16.Enter value in  pur width textbox,,,,,,,,
,,,17.Enter text in pattern version ,,,,,,,,
,,,18.Click on Gmt Way drop down,,,,,,,,
LPP_047,Verifying the functionality of lay plan preparation in Cutting,"Check the Strip Match drop down values, in order category classification form",1.Open Browser and enter url,http://localhost/sfcsui,These values should display in Strip Match drop down: YES and No and select value from drop down,,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
,,,14.Select date from date picker,,,,,,,,
,,,15.select any value from category drop down,,,,,,,,
,,,16.Enter value in  pur width textbox,,,,,,,,
,,,17.Enter text in pattern version ,,,,,,,,
,,,18.Select value from Gmt Way drop down,,,,,,,,
,,,19.Click on Strip Match drop down,,,,,,,,
LPP_048,Verifying the functionality of lay plan preparation in Cutting,"Check the Gusset Sep drop down values, in order category classification form",1.Open Browser and enter url,http://localhost/sfcsui,These values should display in Gusset Sep drop down: YES and No and select value from drop down,,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
,,,14.Select date from date picker,,,,,,,,
,,,15.select any value from category drop down,,,,,,,,
,,,16.Enter value in  pur width textbox,,,,,,,,
,,,17.Enter text in pattern version ,,,,,,,,
,,,18.Select value from Gmt Way drop down,,,,,,,,
,,,19.Select value from Strip Match drop down,,,,,,,,
,,,20.Click on Gusset Sep drop down,,,,,,,,
LPP_049,Verifying the functionality of lay plan preparation in Cutting,"Check the Gusset Sep drop down values, in order category classification form",1.Open Browser and enter url,http://localhost/sfcsui,Redirected to lay plan preparation form and update information should display,,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
,,,14.Select date from date picker,,,,,,,,
,,,15.select any value from category drop down,,,,,,,,
,,,16.Enter value in  pur width textbox,,,,,,,,
,,,17.Enter text in pattern version ,,,,,,,,
,,,18.Select value from Gmt Way drop down,,,,,,,,
,,,19.Select value from Strip Match drop down,,,,,,,,
,,,20.Select value from Gusset Sep drop down,,,,,,,,
,,,21.Click on enable check box,,,,,,,,
,,,22.Click on update button,,,,,,,,
LPP_050,Verifying the functionality of lay plan preparation in Cutting,"Check the functionality of Update Button, in order category classification form",1.Open Browser and enter url,http://localhost/sfcsui,By default status of Update Button is disable,,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
LPP_051,Verifying the functionality of lay plan preparation in Cutting,"Check the functionality of Enable Check Box, in order category classification form",1.Open Browser and enter url,http://localhost/sfcsui,When we click on enable check box update button should be enable,,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
,,,14.Click on Enable check box,,,,,,,,
LPP_052,Verifying the functionality of lay plan preparation in Cutting,"Check the functionality of order category classification form, by passing data into  some fields",1.Open Browser and enter url,http://localhost/sfcsui,Redirected to lay plan preparation form and update information should display,,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
,,,14.Enter data into some fields,,,,,,,,
,,,15.Click on Enable check box,,,,,,,,
,,,16.Click on Update Button,,,,,,,,
LPP_053,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of category field in lay plan preparation form,1.Open Browser and enter url,http://localhost/sfcsui,"If the selected category value is  same as category value which is already avaliable in lay plan preparation from then ,pop up message should be display as "" selected category value is already existed""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
,,,14.Select same values from category dropdown,,,,,,,,
LPP_054,Verifying the functionality of lay plan preparation in Cutting,"Check the fuctionality of edit button in category,in lay plan preparation form",1.Open Browser and enter url,http://localhost/sfcsui,"Once we update the form, it should redirected to lay paln preparation form and that updated information should available in cuttable field",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
,,,14.Fill the details in the form and click on update button,,,,,,,,
,,,15.Lay plan preparation form display,,,,,,,,
LPP_055,Verifying the functionality of lay plan preparation in Cutting,"Check the fields in cuttable,in lay plan preparation form",1.Open Browser and enter url,http://localhost/sfcsui,"These fields should display in cuttable: TID,Date,Category,One GMT One Way,Status,Controls",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
LPP_056,Verifying the functionality of lay plan preparation in Cutting,"Check the functionality of status in cuttable,in lay plan preparation form",1.Open Browser and enter url,http://localhost/sfcsui,"By default,status should be in red cross mark",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,12.Check the status of cuttable,,,,,,,,
LPP_057,Verifying the functionality of lay plan preparation in Cutting,"Check the functionality of Controls in cuttable,in lay plan preparation form",1.Open Browser and enter url,http://localhost/sfcsui,"By default,controls should be in Update mode",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,12.Check the controls of cuttable,,,,,,,,
LPP_058,Verifying the functionality of lay plan preparation in Cutting,"Check the functionality of Controls in cuttable,in lay plan preparation form",1.Open Browser and enter url,http://localhost/sfcsui,Cuttable input form should display,,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
LPP_059,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Click here to Go Back link,1.Open Browser and enter url,http://localhost/sfcsui,"When we click on, click here to go back link,it should goes to lay plan preparation form",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Cuttable Input Form display,,,,,,,,
,,,"14.Click on, click here to go back link",,,,,,,,
LPP_060,Verifying the functionality of lay plan preparation in Cutting,Check the fields in Cuttable Input Form,1.Open Browser and enter url,http://localhost/sfcsui,"These fields should display: Cutting Excess,Cutting Wastage,Sizes,Order Qty,Completed,Balance,Cuttable Qty,Enable checkbox,Update Button",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Cuttable Input Form display,,,,,,,,
LPP_061,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of textboxes are editable or not,1.Open Browser and enter url,http://localhost/sfcsui,Cutting excess and Cutting wastage textboxes are editable,,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Cuttable Input Form display,,,,,,,,
,,,14.Click on textboxes in Cuttable Input Form,,,,,,,,
LPP_062,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Cutting excess textbox,1.Open Browser and enter url,http://localhost/sfcsui,"When we enter values in cutting excess,Cuttable qty value should increases",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Cuttable Input Form display,,,,,,,,
,,,14.Enter float values in cutting excess textbox,3.5,,,,,,,
LPP_063,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Cutting excess textbox,1.Open Browser and enter url,http://localhost/sfcsui,"Popup message should display as""Please enter valid values""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Cuttable Input Form display,,,,,,,,
,,,14.Enter special characters and alphabets and negative values in cutting excess textbox,ac@cc,,,,,,,
LPP_064,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Cutting Wastage textbox,1.Open Browser and enter url,http://localhost/sfcsui,Entered values in textbox should display,,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Cuttable Input Form display,,,,,,,,
,,,14.Enter float values in cutting excess textbox,3.5,,,,,,,
LPP_065,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Cutting Wastage textbox,1.Open Browser and enter url,http://localhost/sfcsui,"Popup message should display as""Please enter valid values""",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Cuttable Input Form display,,,,,,,,
,,,14.Enter special characters and alphabets  and negative values in cutting excess textbox,ac@cc,,,,,,,
LPP_066,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Update Button,1.Open Browser and enter url,http://localhost/sfcsui,"By default,status of update button should be disable",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Cuttable Input Form display,,,,,,,,
,,,14.Check the status of update button,,,,,,,,
LPP_067,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Update Button,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as""Sucessfully entered"" and updated infromation should be display in cuttable,in lay plan preparation form",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Cuttable Input Form display,,,,,,,,
,,,14.Enter values in Cutting Excess and Cutting Wastage,,,,,,,,
,,,15.Cuttable qty value increases,,,,,,,,
,,,16.Click on enable checkbox,,,,,,,,
,,,17.Click on update button,,,,,,,,
LPP_068,Verifying the functionality of lay plan preparation in Cutting,"Check the functionality of update link, in controls and status",1.Open Browser and enter url,http://localhost/sfcsui,In controls the update link should changes to updated and status should be changes to green color tick mark and updated information should be available in Allocation,,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on update link in controls, in cuttable",,,,,,,,
,,,13.Cuttable Input Form display,,,,,,,,
,,,14.Enter values in Cutting Excess and Cutting Wastage,,,,,,,,
,,,15.Cuttable qty value increases,,,,,,,,
,,,16.Click on enable checkbox,,,,,,,,
,,,17.Click on update button,,,,,,,,
LPP_069,Verifying the functionality of lay plan preparation in Cutting,"Check the fields in Allocation,in lay plan preparation form",1.Open Browser and enter url,http://localhost/sfcsui,"These  fields should display: TID,Category Ref,Category,Cuttable,Allocated,Pending,Status,Controls",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Check the fields, in allocation",,,,,,,,
LPP_070,Verifying the functionality of lay plan preparation in Cutting,"Check the allocated field in allocation,in lay paln preparation form",1.Open Browser and enter url,http://localhost/sfcsui,"By default, the value should be zero in allocated field",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,12.Check the status of Allocated field,,,,,,,,
LPP_071,Verifying the functionality of lay plan preparation in Cutting,"Check the pending field in allocation,in lay paln preparation form",1.Open Browser and enter url,http://localhost/sfcsui,"By default, the value in  pending field should be in negative and red in color",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,12.Check the status of pending field,,,,,,,,
LPP_072,Verifying the functionality of lay plan preparation in Cutting,"Check the functionality of status in allocation,in lay plan preparation form",1.Open Browser and enter url,http://localhost/sfcsui,"By default,status should be in red cross mark",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,12.Check the status of Allocated fields,,,,,,,,
LPP_073,Verifying the functionality of lay plan preparation in Cutting,"Check the functionality of Controls in allocation,in lay plan preparation form",1.Open Browser and enter url,http://localhost/sfcsui,"By default,controls should be in Update mode",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
